Price,Prefecture
"3,446‰~",ibaraki
"9,355‰~",ibaraki
"10,264‰~",ibaraki
"3,446‰~",ibaraki
"3,900‰~",ibaraki
"3,900‰~",ibaraki
"4,173‰~",ibaraki
"4,173‰~",ibaraki
"4,355‰~",ibaraki
"4,355‰~",ibaraki
"4,355‰~",ibaraki
"4,810‰~",ibaraki
"4,810‰~",ibaraki
"4,810‰~",ibaraki
"4,810‰~",ibaraki
"4,810‰~",ibaraki
"4,810‰~",ibaraki
"4,810‰~",ibaraki
"5,264‰~",ibaraki
"5,264‰~",ibaraki
"5,264‰~",ibaraki
"5,264‰~",ibaraki
"5,264‰~",ibaraki
"5,719‰~",ibaraki
"5,719‰~",ibaraki
"5,719‰~",ibaraki
"5,719‰~",ibaraki
"5,719‰~",ibaraki
"5,719‰~",ibaraki
"5,719‰~",ibaraki
"5,719‰~",ibaraki
"5,719‰~",ibaraki
"5,719‰~",ibaraki
"5,719‰~",ibaraki
"5,719‰~",ibaraki
"5,719‰~",ibaraki
"6,173‰~",ibaraki
"6,173‰~",ibaraki
"6,173‰~",ibaraki
"6,173‰~",ibaraki
"6,173‰~",ibaraki
"6,173‰~",ibaraki
"6,628‰~",ibaraki
"6,628‰~",ibaraki
"6,628‰~",ibaraki
"6,628‰~",ibaraki
"6,628‰~",ibaraki
"6,628‰~",ibaraki
"6,628‰~",ibaraki
"6,628‰~",ibaraki
"6,628‰~",ibaraki
"7,082‰~",ibaraki
"7,537‰~",ibaraki
"7,537‰~",ibaraki
"7,537‰~",ibaraki
"7,537‰~",ibaraki
"7,537‰~",ibaraki
"8,446‰~",ibaraki
"11,173‰~",ibaraki
"12,082‰~",ibaraki
"12,082‰~",ibaraki
"12,991‰~",ibaraki
"12,991‰~",ibaraki
"13,900‰~",ibaraki
"13,900‰~",ibaraki
"13,900‰~",ibaraki
"13,900‰~",ibaraki
"14,810‰~",ibaraki
"14,810‰~",ibaraki
"14,810‰~",ibaraki
"14,810‰~",ibaraki
"15,719‰~",ibaraki
"15,719‰~",ibaraki
"15,719‰~",ibaraki
"16,628‰~",ibaraki
"5,682‰~",ibaraki
"13,046‰~",ibaraki
"14,773‰~",ibaraki
"6,137‰~",ibaraki
"6,319‰~",ibaraki
"6,410‰~",ibaraki
"6,591‰~",ibaraki
"6,682‰~",ibaraki
"6,682‰~",ibaraki
"6,682‰~",ibaraki
"6,682‰~",ibaraki
"6,864‰~",ibaraki
"6,955‰~",ibaraki
"7,046‰~",ibaraki
"7,228‰~",ibaraki
"7,228‰~",ibaraki
"7,228‰~",ibaraki
"7,319‰~",ibaraki
"7,319‰~",ibaraki
"7,500‰~",ibaraki
"7,500‰~",ibaraki
"7,773‰~",ibaraki
"7,773‰~",ibaraki
"7,864‰~",ibaraki
"7,864‰~",ibaraki
"7,955‰~",ibaraki
"7,955‰~",ibaraki
"8,046‰~",ibaraki
"8,137‰~",ibaraki
"8,410‰~",ibaraki
"8,500‰~",ibaraki
"8,591‰~",ibaraki
"8,682‰~",ibaraki
"8,682‰~",ibaraki
"8,955‰~",ibaraki
"9,319‰~",ibaraki
"10,682‰~",ibaraki
"10,955‰~",ibaraki
"11,319‰~",ibaraki
"15,228‰~",ibaraki
"15,410‰~",ibaraki
"15,682‰~",ibaraki
"15,773‰~",ibaraki
"16,137‰~",ibaraki
"16,137‰~",ibaraki
"16,591‰~",ibaraki
"16,682‰~",ibaraki
"18,682‰~",ibaraki
"3,523‰~",ibaraki
"6,614‰~",ibaraki
"5,673‰~",ibaraki
"10,219‰~",ibaraki
"11,128‰~",ibaraki
"5,673‰~",ibaraki
"5,673‰~",ibaraki
"5,673‰~",ibaraki
"5,673‰~",ibaraki
"5,673‰~",ibaraki
"5,673‰~",ibaraki
"5,673‰~",ibaraki
"6,582‰~",ibaraki
"6,582‰~",ibaraki
"6,582‰~",ibaraki
"6,582‰~",ibaraki
"6,582‰~",ibaraki
"6,582‰~",ibaraki
"6,582‰~",ibaraki
"6,582‰~",ibaraki
"6,582‰~",ibaraki
"6,582‰~",ibaraki
"6,582‰~",ibaraki
"7,491‰~",ibaraki
"7,491‰~",ibaraki
"7,491‰~",ibaraki
"7,491‰~",ibaraki
"7,491‰~",ibaraki
"7,491‰~",ibaraki
"7,491‰~",ibaraki
"7,491‰~",ibaraki
"7,491‰~",ibaraki
"7,491‰~",ibaraki
"7,491‰~",ibaraki
"8,400‰~",ibaraki
"8,400‰~",ibaraki
"8,400‰~",ibaraki
"8,400‰~",ibaraki
"8,400‰~",ibaraki
"8,400‰~",ibaraki
"8,400‰~",ibaraki
"8,400‰~",ibaraki
"8,400‰~",ibaraki
"8,400‰~",ibaraki
"9,310‰~",ibaraki
"9,310‰~",ibaraki
"9,310‰~",ibaraki
"9,310‰~",ibaraki
"9,310‰~",ibaraki
"9,764‰~",ibaraki
"9,764‰~",ibaraki
"10,219‰~",ibaraki
"11,128‰~",ibaraki
"11,582‰~",ibaraki
"12,037‰~",ibaraki
"14,764‰~",ibaraki
"14,764‰~",ibaraki
"14,764‰~",ibaraki
"15,673‰~",ibaraki
"16,582‰~",ibaraki
"16,582‰~",ibaraki
"17,491‰~",ibaraki
"18,400‰~",ibaraki
"4,196‰~",ibaraki
"5,560‰~",ibaraki
"3,855‰~",ibaraki
"6,582‰~",ibaraki
"7,491‰~",ibaraki
"3,855‰~",ibaraki
"3,855‰~",ibaraki
"3,855‰~",ibaraki
"3,855‰~",ibaraki
"3,855‰~",ibaraki
"3,855‰~",ibaraki
"3,855‰~",ibaraki
"3,855‰~",ibaraki
"3,855‰~",ibaraki
"3,855‰~",ibaraki
"3,855‰~",ibaraki
"3,855‰~",ibaraki
"3,855‰~",ibaraki
"3,855‰~",ibaraki
"3,855‰~",ibaraki
"4,310‰~",ibaraki
"4,310‰~",ibaraki
"4,310‰~",ibaraki
"4,310‰~",ibaraki
"4,310‰~",ibaraki
"4,310‰~",ibaraki
"4,310‰~",ibaraki
"4,764‰~",ibaraki
"4,764‰~",ibaraki
"4,764‰~",ibaraki
"4,764‰~",ibaraki
"4,764‰~",ibaraki
"4,764‰~",ibaraki
"4,764‰~",ibaraki
"4,764‰~",ibaraki
"4,764‰~",ibaraki
"4,764‰~",ibaraki
"4,764‰~",ibaraki
"4,764‰~",ibaraki
"4,764‰~",ibaraki
"4,764‰~",ibaraki
"4,764‰~",ibaraki
"4,764‰~",ibaraki
"4,764‰~",ibaraki
"4,764‰~",ibaraki
"4,764‰~",ibaraki
"4,764‰~",ibaraki
"4,764‰~",ibaraki
"4,764‰~",ibaraki
"5,219‰~",ibaraki
"5,219‰~",ibaraki
"5,219‰~",ibaraki
"5,219‰~",ibaraki
"5,219‰~",ibaraki
"5,219‰~",ibaraki
"5,219‰~",ibaraki
"5,219‰~",ibaraki
"5,219‰~",ibaraki
"5,219‰~",ibaraki
"5,219‰~",ibaraki
"5,673‰~",ibaraki
"5,673‰~",ibaraki
"5,673‰~",ibaraki
"5,673‰~",ibaraki
"5,673‰~",ibaraki
"5,673‰~",ibaraki
"5,673‰~",ibaraki
"5,673‰~",ibaraki
"5,673‰~",ibaraki
"5,673‰~",ibaraki
"5,673‰~",ibaraki
"6,128‰~",ibaraki
"6,128‰~",ibaraki
"6,582‰~",ibaraki
"6,582‰~",ibaraki
"7,491‰~",ibaraki
"8,400‰~",ibaraki
"8,400‰~",ibaraki
"8,400‰~",ibaraki
"8,400‰~",ibaraki
"9,310‰~",ibaraki
"9,310‰~",ibaraki
"9,310‰~",ibaraki
"10,219‰~",ibaraki
"10,219‰~",ibaraki
"10,219‰~",ibaraki
"10,219‰~",ibaraki
"11,128‰~",ibaraki
"11,128‰~",ibaraki
"11,128‰~",ibaraki
"11,128‰~",ibaraki
"11,128‰~",ibaraki
"11,128‰~",ibaraki
"12,037‰~",ibaraki
